TIME,RNET,G0,Gstor,H,LE,H_spec_corr,LE_spec_corr,HA_T,HA_Q,VA_T,VFD_T
2022-06-23 04:00,-29.834464791889,-10.3962948086195,-1.10894254036089,-6.40493388573782,2.52158265642608,-6.40493388573782,2.52158265642608,-2.6053273352483,38.3997459847843,-0.00106580105137905,0.317602050482677
2022-06-23 04:30,-21.5048163815363,-10.0980823800646,-1.31056845679017,-14.1176640341522,6.23789483086085,-14.1176640341522,6.23789483086085,-18.1299784547788,36.2323300056707,-2.84020705445626,-6.75333572000677
2022-06-23 05:00,-21.8025226269976,-8.92990793891468,-0.856910144824285,-19.5680981981381,14.4695232148551,-19.5680981981381,14.4695232148551,-6.65754859093315,43.9288190979706,-8.74342785546315,5.85716666983115
2022-06-23 05:30,7.72529495088909,-8.05594096342376,0.403251832858455,-15.2509763281851,20.5396871817635,-15.2509763281851,20.5396871817635,-4.1321568735033,38.6989753230673,-5.88775515375156,-1.8127023661456
2022-06-23 06:00,88.4714118057263,-5.9723083888318,2.01625916429254,-6.22394501710545,64.2085996281741,-6.22394501710545,64.2085996281741,2.39297774787063,58.9575107714028,-2.08969399793591,-3.81325251076823
2022-06-23 06:30,200.488934520073,-1.79586016949612,4.74305990028489,9.92430413324176,149.452758920687,9.92430413324176,149.452758920687,2.52610495067067,88.0166752699162,-0.796545848650701,-27.0488551157207
2022-06-23 07:00,83.9425676861187,0.111702015587562,3.99026542972457,-7.07915397669216,68.6683952235335,-7.07915397669216,68.6683952235335,-0.750878413260836,56.9421778711348,-2.29520131217213,-9.07128301186474
2022-06-23 07:30,145.565087849743,0.904812331797151,1.971890462963,-2.40092067406987,101.336830494027,-2.40092067406987,101.336830494027,2.18530209857646,112.416912657052,-1.32021360120097,1.6067824219194
2022-06-23 08:00,309.719837375018,3.8722443476465,4.70220033475782,56.282030449551,175.994943807821,56.282030449551,175.994943807821,23.8495394133226,112.226960482261,-6.31764388417333,55.9462103515748
2022-06-23 08:30,448.959442594922,7.60766579224066,9.92012817663816,64.1088888326861,270.783946081682,64.1088888326861,270.783946081682,2.64186040938723,77.5728556053937,-2.0037482249905,2.02281910090095
2022-06-23 09:00,508.981624659828,13.4777869573671,15.6712775997151,77.0399484657485,297.745701231417,77.0399484657485,297.745701231417,10.1435505547035,92.8486222090291,17.7543137583424,-38.8399059755116
2022-06-23 09:30,561.828264003956,19.9511074067909,19.0765963319088,67.643052639405,306.696910945698,67.643052639405,306.696910945698,5.84268427667027,43.4311710875847,25.6122957899357,-31.4208326304053
2022-06-23 10:00,601.467120836325,27.7022913541394,20.0223185754985,80.7248391951524,262.771621607028,77.0202293453735,324.98097831278,18.4565397949331,82.9268953704157,22.5977182493263,-27.7976834767764
2022-06-23 10:30,631.219848742669,37.0479194764216,15.9332011752137,101.78908476807,338.507501853099,97.1177983363914,418.646802290362,9.71356981276954,54.9794795375843,-1.3023327434195,-29.7138402942641
2022-06-23 11:00,652.18471111559,44.5987906114646,19.013179985755,89.8262192920903,293.893061089195,85.703930538397,363.470202482282,7.0646186777925,47.820718844046,0.174366178442499,-25.6395825964639
2022-06-23 11:30,664.554477562647,51.8874463383932,28.8118593518517,85.7962911619341,305.314688881766,81.8589431475935,377.595821341937,24.5764283396581,53.5288085408695,33.1586483274836,-33.9784661550264
2022-06-23 12:00,663.714292469157,60.8995105244674,27.7093789743591,102.932440517509,310.648738129107,98.208683408732,384.19266970847,10.7193877216384,64.0827716169185,35.4850118132546,-4.67891946449812
2022-06-23 12:30,655.519914889211,65.9875597355725,22.5104702635327,87.5515789424803,332.758618984062,83.533677575964,411.536911322839,4.58092497764533,95.0836418596947,6.80818555127018,-4.50928300267341
2022-06-23 13:00,635.682408467632,68.3183278909352,20.3573262891738,92.1277984767396,363.234705489299,87.8998860636806,449.227999679512,10.7575416949419,81.1380350472481,7.49704465577576,-28.4257936606963
2022-06-23 13:30,607.575324045681,66.4016626414299,14.5039474833808,79.9626374282327,357.00236428796,76.2930064053106,441.520194976693,6.97164654424656,72.2557590688839,62.8652933601436,-26.7193209375416
2022-06-23 14:00,570.410415689684,62.7850681239583,6.79253567663819,72.5417753519543,383.786918526475,69.2127012011887,474.645806436829,19.1790613034316,75.2017920280614,40.5108205998588,-14.9516393552962
